date,sitrep_number,confirmed_cases_cumulative,confirmed_deaths_cumulative,new_confirmed_cases_reported,daily_deaths_reported,source_url,source_data_as_of_date,curation_date,notes
2026-06-13,30,782,181,72,29,https://insp.cd/sitrep-n30-mvb_13-06-2026/,2026-06-13,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-14,31,808,192,26,11,https://insp.cd/sitrep-n31-mvb_14-06-2026/,2026-06-14,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-15,32,837,196,29,4,https://insp.cd/sitrep-n32-mvb_15-06-2026/,2026-06-15,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-16,33,875,202,40,4,https://insp.cd/sitrep-n33-mvb_16-06-2026/,2026-06-16,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-17,34,896,232,21,6,https://insp.cd/sitrep-n34-mvb_17-06-2026/,2026-06-17,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-18,35,933,245,36,12,https://insp.cd/sitrep-n35-mvb_18-06-2026/,2026-06-18,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-19,36,956,247,23,2,https://insp.cd/sitrep-n36-mvb_19-06-2026/,2026-06-19,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-20,37,1003,254,47,7,https://insp.cd/sitrep-n37-mvb_20-06-2026/,2026-06-20,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-21,38,1048,267,45,13,https://insp.cd/sitrep-n38-mvb_21-06-2026/,2026-06-21,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-22,39,1094,277,46,10,https://insp.cd/sitrep-n39-mvb_22-06-2026/,2026-06-22,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-23,40,1118,291,24,14,https://insp.cd/sitrep-n040-mvb_23-06-2026/,2026-06-23,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-06-24,41,1155,304,37,13,https://insp.cd/sitrep-n041-mvb_24-06-2026/,2026-06-24,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-06-25,42,1203,321,48,17,https://insp.cd/sitrep-n042-mvb_25-06-2026/,2026-06-25,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-06-27,44,1274,360,47,12,https://insp.cd/sitrep-n044-mvb_27-06-2026/,2026-06-27,2026-07-14,The daily death value is deaths among the 47 newly reported confirmed cases; it is not added to treatment-centre deaths stated elsewhere in the SitRep.
2026-06-29,46,1333,399,26,8,https://insp.cd/sitrep-n046-mvb_29-06-2026/,2026-06-29,2026-07-14,Daily values use the ECDC-reported increase and are not calculated by subtracting cumulative chart points.
2026-06-30,47,1406,438,73,25,https://insp.cd/sitrep-n047-mvb_30-06-2026/,2026-06-30,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-01,48,1460,452,54,9,https://insp.cd/sitrep-n48-mvb_01-07-2026/,2026-07-01,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-02,49,1502,473,42,7,https://insp.cd/sitrep-n049-mvb_02-07-2026/,2026-07-02,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-03,50,1528,492,26,9,https://insp.cd/sitrep-n050-mvb_02-07-2026/,2026-07-03,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-04,51,1561,506,33,6,https://insp.cd/sitrep-n051-mvb_04-07-2026/,2026-07-04,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-05,52,1624,521,63,8,https://insp.cd/sitrep-n052-mvb_05-07-2026/,2026-07-05,2026-07-14,"Daily changes are newly reported values, not necessarily new infections."
2026-07-06,53,1708,580,84,,https://insp.cd/sitrep-n053-mvb_06-07-2026/,2026-07-06,2026-07-14,Daily deaths are blank because the SitRep does not state a directly comparable metric.
2026-07-07,54,1759,600,51,,https://insp.cd/sitrep-n054-mvb_07-07-2026/,2026-07-07,2026-07-14,Daily deaths are blank because the SitRep does not state a directly comparable metric.
2026-07-08,55,1792,625,33,,https://insp.cd/sitrep-n055-mvb_08-07-2026/,2026-07-08,2026-07-14,Daily deaths are blank because the SitRep does not state a directly comparable metric.
2026-07-09,56,1830,648,38,,https://insp.cd/sitrep-n056-mvb_09-07-2026/,2026-07-09,2026-07-14,Daily deaths are blank because the SitRep does not state a directly comparable metric.
2026-07-10,57,1873,672,43,,https://insp.cd/sitrep-n057-mvb_10-07-2026/,2026-07-10,2026-07-14,Daily deaths are blank because the SitRep does not state a directly comparable metric.
2026-07-11,58,1926,702,53,,https://insp.cd/sitrep-n058-mvb_11-07-2026/,2026-07-11,2026-07-14,Daily deaths are blank because the SitRep contains internally inconsistent daily-death figures.
2026-07-12,59,1963,718,31,10,https://insp.cd/wp-content/uploads/2026/07/SitRep-MVE-17-No59-Analytique-final-3.pdf,2026-07-12,2026-08-03,"The SitRep directly reports 31 newly confirmed cases and 10 newly reported deaths. Its headline tile gives 719 cumulative deaths, but the prose, detailed tables and case-fatality calculation consistently support 718."
2026-07-13,60,2011,754,54,,https://insp.cd/sitrep-n060-mvb-13-07-2026/,2026-07-13,2026-07-17,Daily deaths are blank because the reported death construction is not directly comparable with this series; the SitRep also contains a visibly misaligned continuation row in Table 2.
2026-07-14,61,2073,796,62,42,https://insp.cd/sitrep-n061-mvb_14-07-2026/,2026-07-14,2026-07-17,"The SitRep directly reports 62 newly confirmed cases and 42 confirmed deaths, split into 27 community deaths and 15 deaths in treatment centres."
2026-07-15,62,2124,828,51,32,https://insp.cd/sitrep-n062-mvb_15-07-2026/,2026-07-15,2026-07-20,"The SitRep directly reports 51 newly confirmed cases and 32 confirmed deaths; one note contains an arithmetic typo, while the heading, prose and cumulative total support 32."
2026-07-17,64,2267,893,86,29,https://insp.cd/sitrep-n064-mvb_17-07-2026/,2026-07-17,2026-07-20,"The heading, prose and provincial sum directly support 86 newly confirmed cases and 29 deaths; the total row of Table 2 mistakenly prints 56 new cases."
2026-07-18,65,2344,930,83,40,https://insp.cd/sitrep-n065-mvb_18-07-2026/,2026-07-18,2026-07-20,The SitRep directly reports 83 newly confirmed cases and 40 confirmed deaths; the report notes data harmonisation between Haut-Uele and Nia-Nia in Ituri.
2026-07-19,66,2423,967,79,37,https://insp.cd/sitrep-n066-mvb_19-07-2026/,2026-07-19,2026-07-22,"The SitRep directly reports 79 newly confirmed cases and 37 confirmed deaths; Adja in Ituri is newly affected. Page 8 contains a narrative typo for the Ituri isolation subtotal, while the heading, table and arithmetic support the overall total of 734."
2026-07-20,67,2473,999,50,32,https://insp.cd/sitrep-n067-mvb_20-07-2026/,2026-07-20,2026-07-23,"The SitRep directly reports 50 newly confirmed cases (42 in Ituri and 8 in North Kivu), 32 confirmed deaths (27 in Ituri and 5 in North Kivu) and no newly affected health zone."
2026-07-21,68,2536,1033,63,34,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N%C2%B0_68_21-07-2026.pdf,2026-07-21,2026-07-24,"The cover, Table 2, WHO cross-check and provincial sum support 2,536 confirmed cases. Table 1's total row mistakenly says 2,531 and the following prose mistakenly says 2,228 rather than 2,248 for Ituri. The SitRep directly reports 63 newly confirmed cases and 34 deaths."
2026-07-22,69,2905,1269,,,https://insp.cd/sitrep-n069-mvb_22-07-2026/,2026-07-22,2026-07-28,"Cumulative totals cross-checked against ECDC. Daily values remain blank because ECDC's overall new-case figure and provincial split are internally inconsistent, and cumulative differences are not treated as daily incidence."
2026-07-23,70,2973,1309,,,https://insp.cd/sitrep-n070-mvb_23-07-2026/,2026-07-23,2026-07-28,Cumulative totals cross-checked against government figures reported by multiple independent wire services. Daily values remain blank because direct internally consistent daily metrics were not available during the review.
2026-07-24,71,3075,1354,,,https://insp.cd/sitrep-n071-mvb_24-07-2026/,2026-07-24,2026-07-28,"Cumulative totals cross-checked against WHO daily update 20260726; provincial totals sum to 3,075 cases and 1,354 deaths. Daily values remain blank because the increase includes data harmonisation and retrospective processing."
2026-07-25,72,3200,1405,125,51,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N%C2%B0_72_25-07-2026.pdf,2026-07-25,2026-07-28,"The SitRep directly reports 125 newly confirmed cases and 51 confirmed deaths; provincial totals sum to 3,200 cases and 1,405 deaths. It distinguishes 48 affected health zones from 47 zones with active transmission."
2026-07-26,73,3262,1437,62,32,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N%C2%B0_73_26-07-2026.pdf,2026-07-26,2026-07-31,"The SitRep directly reports 62 newly confirmed cases and 32 confirmed deaths. It retains 48 affected health zones, 47 with active transmission. Haut-Uele is internally inconsistent at 38 versus 39 confirmed cases, so this row uses only the national totals confirmed by WHO and ECDC."
2026-07-27,74,3360,1487,98,50,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N%C2%B0_74_27-07-2026_OKKK.pdf,2026-07-27,2026-07-31,"The SitRep directly reports 98 newly confirmed cases, 50 confirmed deaths and 14 recoveries. The death figure includes harmonisation of 11 deaths by health zone in North Kivu. It retains 48 affected health zones, 47 with active transmission, and reports no newly affected health zone."
2026-07-30,77,3605,1587,73,24,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_077_30-07-2026.pdf,2026-07-30,2026-08-03,"The heading, table and provincial sum support 73 newly confirmed cases; one narrative sentence mistakenly states 77. The SitRep directly reports 24 confirmed deaths and notes harmonisation of seven earlier deaths in Haut-Uele, plus 25 recoveries."
2026-07-31,78,3674,1621,69,34,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_078_31-07-2026.pdf,2026-07-31,2026-08-03,"The SitRep directly reports 69 newly confirmed cases, 34 confirmed deaths and 15 recoveries."
2026-08-01,79,3748,1657,74,36,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_079_01-08-2026.pdf,2026-08-01,2026-08-03,"The SitRep directly reports 74 newly confirmed cases, 36 confirmed deaths and 42 recoveries. Its narrative reports 49 affected health zones while Table 1 reports 50; the exact zone count is therefore not treated as resolved. A provincial recovery breakdown is also internally inconsistent, so only the national recovery total is used in prose."
2026-08-02,80,3802,1707,58,40,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_080_02-08-2026.pdf,2026-08-02,2026-08-07,"The SitRep reports 58 newly confirmed cases and 19 recoveries. Its headline figure, cumulative arithmetic and ECDC support 40 daily confirmed deaths, while one narrative sentence says 37. It separately notes harmonisation of 10 earlier deaths; the daily death value is not reconstructed from the 50-death increase in the cumulative total."
2026-08-03,81,3874,1751,72,44,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_081_03_08_2026_VF.pdf,2026-08-03,2026-08-07,"The SitRep directly reports 72 newly confirmed cases, 44 confirmed deaths and 22 recoveries. National totals and the table support 51 affected health zones and no newly affected zone over 24 hours. Parts of the provincial narrative are internally inconsistent about the distribution of deaths, so only supported national totals are used."
2026-08-04,82,3973,1801,99,52,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_082_04_08_2026.pdf,2026-08-04,2026-08-07,"The SitRep directly reports 99 newly confirmed cases, 52 confirmed deaths and 27 recoveries. The cumulative death total rises by 50 because an earlier North Kivu provincial total was simultaneously corrected downward by two deaths; the daily value is not reconstructed from cumulative arithmetic."
2026-08-05,83,4053,1850,80,49,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVE_RDC_N_083_05-08-2026.pdf,2026-08-05,2026-08-10,"The SitRep directly reports 80 newly confirmed cases, 49 confirmed deaths and 17 recoveries. Its cover summary reports 1,850 cumulative deaths, while Table 1 and the provincial sum report 1,851; ECDC and the next SitRep support 1,850, which is used here with the discrepancy preserved in the public notes. Gombari and Bafwasende are newly affected, bringing the total to 53 health zones."
2026-08-06,84,4120,1887,67,42,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_084_060826.pdf,2026-08-06,2026-08-10,The SitRep reports 67 newly confirmed cases and 42 deaths over 24 hours in its key messages. An earlier summary bullet identifies 15 deaths among newly confirmed cases; the 42-death daily value includes the full reported daily death metric and is not reconstructed from cumulative arithmetic.
2026-08-07,85,4209,1916,89,29,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_085_070826_TK-2.pdf,2026-08-07,2026-08-10,"The SitRep reports 89 newly confirmed cases and 29 deaths over 24 hours in its key messages, distinguishing 21 deaths among newly confirmed cases and 8 additional deaths in treatment centres. It also reports 18 recoveries, 53 affected health zones and follow-up of 83.4% of listed contacts."
2026-08-08,86,4294,1960,85,44,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_086_080826.pdf,2026-08-08,2026-08-17,"The SitRep reports 85 newly confirmed cases and 29 newly reported deaths in its headline, and separately records 15 additional confirmed deaths in treatment centres. The daily death value of 44 uses those two explicitly reported components; it is not inferred only from the cumulative difference. It also reports 21 recoveries."
2026-08-09,87,4381,2011,87,51,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_087_09_08_2026_VF.pdf,2026-08-09,2026-08-17,"The SitRep directly reports 87 newly confirmed cases and 51 deaths, comprising 34 community deaths and 17 confirmed deaths in treatment centres. It also reports 20 recoveries."
2026-08-10,88,4449,2061,68,50,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_088_10_08_2026_11.pdf,2026-08-10,2026-08-17,"The SitRep directly reports 68 newly confirmed cases and 50 deaths, comprising 31 community deaths and 19 confirmed deaths in treatment centres. Haut-Uele transmitted no daily data; national cumulative totals remain explicitly reported."
2026-08-11,89,4566,2128,118,67,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_089_11_08_2026.pdf,2026-08-11,2026-08-17,"The SitRep directly reports 118 newly confirmed cases and 67 deaths, comprising 50 community deaths and 17 confirmed deaths in treatment centres. The cumulative case total rises by 117 because the national series is under continuous harmonisation; the daily value is not reconstructed from that difference."
2026-08-12,90,4665,2184,100,53,https://insp.cd/wp-content/uploads/2026/08/SITREP_MVEBDB_090_12_08_2026.pdf,2026-08-12,2026-08-17,"The SitRep directly reports 100 newly confirmed cases and 53 deaths, comprising 28 community deaths and 25 confirmed deaths in treatment centres. The cumulative totals change by 99 cases and 56 deaths because of simultaneous retrospective revision. It reports the first confirmed case and confirmed death in Buta health zone, Bas-Uele, making Bas-Uele the sixth affected province."
2026-08-13,91,4727,2214,62,30,https://insp.cd/wp-content/uploads/2026/08/91.pdf,2026-08-13,2026-08-17,"The SitRep directly reports 62 newly confirmed cases and 30 deaths, comprising 14 community deaths and 16 confirmed deaths in treatment centres. Tshopo health zone is newly affected, bringing the total to 55 affected health zones."
2026-08-14,92,4843,2272,116,58,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_092_14_08_2026.pdf,2026-08-14,2026-08-17,"The SitRep directly reports 116 newly confirmed cases and 58 deaths, comprising 38 community deaths and 20 confirmed deaths in treatment centres. It also reports 30 recoveries, 777 patients in isolation or treatment centres and follow-up of 83.2% of listed contacts."
2026-08-15,93,4945,2325,101,53,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_093_15_08_2026.pdf,2026-08-15,2026-08-17,"The SitRep directly reports 101 newly confirmed cases, 33 community deaths and 20 confirmed deaths in treatment centres, for 53 reported deaths over 24 hours. The cumulative case total rises by 102 because one Tshopo case recorded on 14 August had been omitted from SitRep 92. It also reports 34 recoveries, 730 patients in isolation or treatment centres, 55 affected health zones in six provinces and follow-up of 85.3% of listed contacts."
2026-08-16,94,5021,2378,76,53,https://insp.cd/wp-content/uploads/2026/08/94.pdf,2026-08-16,2026-08-21,"The SitRep directly reports 76 newly confirmed cases, 30 community deaths and 23 confirmed deaths in treatment centres, for 53 reported deaths over 24 hours. It also reports 21 recoveries, 751 patients in isolation or treatment centres, 55 affected health zones and follow-up of 82.2% of listed contacts."
2026-08-17,95,5105,2420,84,42,https://insp.cd/wp-content/uploads/2026/08/95.pdf,2026-08-17,2026-08-21,"The SitRep directly reports 84 newly confirmed cases, 29 community deaths and 13 confirmed deaths in treatment centres, for 42 reported deaths over 24 hours. It also reports 30 recoveries, 782 patients in isolation or treatment centres, 55 affected health zones and follow-up of 84.1% of listed contacts."
2026-08-18,96,5208,2476,103,56,https://insp.cd/wp-content/uploads/2026/08/96.pdf,2026-08-18,2026-08-21,"The SitRep directly reports 103 newly confirmed cases, 35 community deaths and 21 confirmed deaths in treatment centres, for 56 reported deaths over 24 hours. It also reports 24 recoveries, 730 patients in isolation or treatment centres and follow-up of 84.0% of listed contacts. Viadana is newly affected, bringing Bas-Uele to two affected health zones and the national total to 56."
2026-08-19,97,5290,2516,81,40,https://insp.cd/wp-content/uploads/2026/08/97-1.pdf,2026-08-19,2026-08-24,"The SitRep directly reports 81 newly confirmed cases, 23 community deaths and 17 confirmed deaths in treatment centres, for 40 reported deaths over 24 hours. It also reports 37 recoveries, 837 patients in isolation or treatment centres, 56 affected health zones and follow-up of 82.9% of listed contacts. One retrospective Tshopo case was added during data harmonisation."
2026-08-20,98,5375,2557,85,41,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_098_20_08_2026_VF_98.pdf,2026-08-20,2026-08-24,"The SitRep directly reports 85 newly confirmed cases, 18 community deaths and 23 confirmed deaths in treatment centres, for 41 reported deaths over 24 hours. It also reports 15 recoveries, 737 patients in isolation or treatment centres, 56 affected health zones and follow-up of 85.5% of listed contacts."
2026-08-21,99,5458,2606,83,49,https://insp.cd/wp-content/uploads/2026/08/99.pdf,2026-08-21,2026-08-24,"The SitRep directly reports 83 newly confirmed cases, 27 community deaths and 22 confirmed deaths in treatment centres, for 49 reported deaths over 24 hours. It also reports 15 recoveries, 798 patients in isolation or treatment centres and follow-up of 84.4% of listed contacts. Mutwanga is newly affected, bringing North Kivu to 13 affected health zones and the national total to 57."
2026-08-22,100,5514,2642,55,36,https://insp.cd/wp-content/uploads/2026/08/100.pdf,2026-08-22,2026-08-24,"The SitRep directly reports 55 newly confirmed cases, 23 community deaths and 13 confirmed deaths in treatment centres, for 36 reported deaths over 24 hours. It also reports 18 recoveries, 808 patients in isolation or treatment centres, 57 affected health zones and follow-up of 83.4% of listed contacts. One additional confirmed case in Haut-Uele was added retrospectively through data reconciliation and is not counted among the 55 daily confirmations, so the cumulative total rises by 56."
2026-08-23,101,5584,2680,70,38,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_101_23_08_2026.pdf,2026-08-23,2026-08-26,"The SitRep directly reports 70 newly confirmed cases, 16 community deaths and 22 confirmed deaths in treatment centres, for 38 reported deaths over 24 hours. It also reports 15 recoveries, 846 patients in isolation or treatment centres, 57 affected health zones and follow-up of 83.4% of listed contacts."
2026-08-24,102,5656,2715,72,35,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_102_24_08_2026.pdf,2026-08-24,2026-08-26,"The SitRep directly reports 72 newly confirmed cases, 18 community deaths and 17 confirmed deaths in treatment centres, for 35 reported deaths over 24 hours. It also reports 30 recoveries, 792 patients in isolation or treatment centres and follow-up of 80.9% of listed contacts. Ganga is newly affected in Bas-Uele, bringing the national total to 58 affected health zones."
2026-08-25,103,5713,2744,57,29,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_103_25_08_2026.pdf,2026-08-25,2026-08-28,"The SitRep directly reports 57 newly confirmed cases, 11 community deaths and 18 confirmed deaths in treatment centres, for 29 reported deaths over 24 hours. It also reports 24 recoveries, 770 patients in isolation or treatment centres, 58 affected health zones and follow-up of 84.6% of listed contacts."
2026-08-26,104,5794,2786,81,42,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_104_26_08_2026.pdf,2026-08-26,2026-09-01,"The SitRep directly reports 81 newly confirmed cases, 35 community deaths and 7 confirmed deaths in treatment centres, for 42 reported deaths over 24 hours. It also reports 24 recoveries, 843 patients in isolation or treatment centres and follow-up of 82.3% of listed contacts. Biena and Manguredjipa are newly affected in North Kivu, bringing the national total to 60 affected health zones."
2026-08-27,105,5863,2824,69,38,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_105_27_08_2026.pdf,2026-08-27,2026-09-01,"The SitRep directly reports 69 newly confirmed cases, 23 community deaths and 15 confirmed deaths in treatment centres, for 38 reported deaths over 24 hours. It also reports 25 recoveries, 795 patients in isolation or treatment centres, 60 affected health zones and follow-up of 87.3% of listed contacts."
2026-08-28,106,5945,2862,82,38,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_106_28_08_2026.pdf,2026-08-28,2026-09-01,"The SitRep directly reports 82 newly confirmed cases, 24 community deaths and 14 confirmed deaths in treatment centres, for 38 reported deaths over 24 hours. It also reports 9 recoveries, 896 patients in isolation or treatment centres, 60 affected health zones and follow-up of 84.4% of listed contacts."
2026-08-29,107,6041,2911,96,49,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_107_29_08_2026.pdf,2026-08-29,2026-09-01,"The SitRep directly reports 96 newly confirmed cases, 41 community deaths and 8 confirmed deaths in treatment centres, for 49 reported deaths over 24 hours. It also reports 39 recoveries, 619 patients in isolation or treatment centres, 60 affected health zones and follow-up of 82.4% of listed contacts."
2026-08-30,108,6100,2950,59,39,https://insp.cd/wp-content/uploads/2026/08/SitRep_MVEBDB_108_30_08_2026.pdf,2026-08-30,2026-09-01,"The SitRep directly reports 59 newly confirmed cases, 19 community deaths and 20 confirmed deaths in treatment centres, for 39 reported deaths over 24 hours. It also reports 17 recoveries, 814 patients in isolation or treatment centres, 60 affected health zones and follow-up of 86.3% of listed contacts."
2026-08-31,109,6186,3007,86,57,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_109_31_08_2026.pdf,2026-08-31,2026-09-04,"The SitRep directly reports 86 newly confirmed cases, 43 community deaths and 14 confirmed deaths in treatment centres, for 57 reported deaths over 24 hours. It also reports 26 recoveries, 830 patients in isolation or treatment centres, 60 affected health zones and follow-up of 88.0% of listed contacts. No new health zone was reported."
2026-09-01,110,6250,3039,64,32,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_110_01_09_2026.pdf,2026-09-01,2026-09-04,"The SitRep directly reports 64 newly confirmed cases, 25 community deaths and 7 confirmed deaths in treatment centres, for 32 reported deaths over 24 hours. It also reports 30 recoveries, 869 patients in isolation or treatment centres, 60 affected health zones and follow-up of 89.0% of listed contacts. No new health zone was reported."
2026-09-02,111,6342,3072,92,33,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_111_02_09_2026.pdf,2026-09-02,2026-09-07,"The SitRep directly reports 92 newly confirmed cases, 24 community deaths and 9 confirmed deaths in treatment centres, for 33 reported deaths over 24 hours. It also reports 36 recoveries, 770 patients in isolation or treatment centres, 60 affected health zones and follow-up of 86.5% of listed contacts. No new health zone was reported."
2026-09-03,112,6436,3095,94,23,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_112_03_09_2026.pdf,2026-09-03,2026-09-07,"The SitRep directly reports 94 newly confirmed cases, 17 community deaths and 6 confirmed deaths in treatment centres, for 23 reported deaths over 24 hours. It also reports 20 recoveries, 738 patients in isolation or treatment centres, 60 affected health zones and follow-up of 88.5% of listed contacts. No new health zone was reported."
2026-09-04,113,6522,3134,86,39,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_113_04_09_2026.pdf,2026-09-04,2026-09-07,"The SitRep directly reports 86 newly confirmed cases, 30 community deaths and 9 confirmed deaths in treatment centres, for 39 reported deaths over 24 hours. It also reports 21 recoveries, 817 patients in isolation or treatment centres, 61 affected health zones and follow-up of 86.0% of listed contacts. Kayna in North Kivu was newly affected."
2026-09-05,114,6604,3175,82,41,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_114_05_09_2026.pdf,2026-09-05,2026-09-09,"The SitRep directly reports 82 newly confirmed cases, 32 community deaths and 9 confirmed deaths in treatment centres, for 41 reported deaths over 24 hours. Cumulative recoveries: 1548; patients in isolation or treatment centres: 851; affected health zones: 61. No new health zone was reported."
2026-09-06,115,6686,3226,82,51,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_115_06_09_2026.pdf,2026-09-06,2026-09-09,"The SitRep directly reports 82 newly confirmed cases, 36 community deaths and 15 confirmed deaths in treatment centres, for 51 reported deaths over 24 hours. Cumulative recoveries: 1563; patients in isolation or treatment centres: 819; affected health zones: 61. No new health zone was reported. The cover narrative says 5 September, but the reporting date and tables say 6 September, corroborated by WHO and ECDC."
2026-09-07,116,6757,3267,71,41,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_116_07_09_2026.pdf,2026-09-07,2026-09-09,"The SitRep directly reports 71 newly confirmed cases, 31 community deaths and 10 confirmed deaths in treatment centres, for 41 reported deaths over 24 hours. Cumulative recoveries: 1590; patients in isolation or treatment centres: 813; affected health zones: 61. No new health zone was reported. Contact follow-up is internally inconsistent: 88.3% stated versus 21,359/24,719 (approximately 86.4%); no performance inference is made."
2026-09-08,117,6843,3310,86,43,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_117_08_09_2026.pdf,2026-09-08,2026-09-15,The SitRep directly reports 86 newly confirmed cases and 43 deaths (19 community deaths plus 24 confirmed deaths in treatment centres).
2026-09-09,118,6942,3349,99,39,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_118_09_09_2026.pdf,2026-09-09,2026-09-15,The SitRep directly reports 99 newly confirmed cases and 39 deaths (29 community deaths plus 10 confirmed deaths in treatment centres). Reporting date and tables are 9 September; the SitRep identifier incorrectly ends in 10/09/2026.
